wastewater_treatment_plant.name,collection_date,target,dilution,assay,gc_per_lww,TotalDroplets,flow,ara_id,population
ARA Werdhoelzli,2023-07-02T00:00:00Z,SARS-N1,2,n1mhv,40487.97938283526,23807,150887,26101,471000
ARA Werdhoelzli,2023-07-02T00:00:00Z,SARS-N1,2,n1mhv,25387.27728570744,25813,150887,26101,471000
ARA Werdhoelzli,2023-07-01T00:00:00Z,SARS-N1,2,n1mhv,80171.78013109809,26464,133081,26101,471000
ARA Werdhoelzli,2023-07-01T00:00:00Z,SARS-N1,2,n1mhv,49569.609904654964,16336,133081,26101,471000
ARA Werdhoelzli,2023-06-30T00:00:00Z,SARS-N1,2,n1mhv,28788.0227582794,26782,175562,26101,471000
ARA Werdhoelzli,2023-06-30T00:00:00Z,SARS-N1,2,n1mhv,27748.73462235728,23617,175562,26101,471000
ARA Werdhoelzli,2023-06-29T00:00:00Z,SARS-N1,2,n1mhv,58549.190298725574,24371,137408,26101,471000
ARA Werdhoelzli,2023-06-29T00:00:00Z,SARS-N1,2,n1mhv,65875.47354915048,25761,137408,26101,471000
CDA Lugano,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,26032.801532737492,24430,35816,515100,124000
CDA Lugano,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,30579.80137877264,22689,35816,515100,124000
STEP Aire,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,66312.83186522555,24421,107284,664301,454000
STEP Aire,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,49211.39625357672,24677,107284,664301,454000
ARA Chur,2023-07-02T00:00:00Z,SARS-N1,5,n1mhv,61176.756504142235,23629,11123,390101,55000
ARA Chur,2023-07-02T00:00:00Z,SARS-N1,5,n1mhv,67443.5315934808,24292,11123,390101,55000
ARA Altenrhein,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,12156.61074284634,23777,18698,323700,64000
ARA Altenrhein,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,22569.78210240712,25616,18698,323700,64000
ARA Sensetal,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,4606.588160557611,25097,14283,66700,62000
ARA Sensetal,2023-07-02T00:00:00Z,SARS-N1,3,n1mhv,7571.019008148918,22906,14283,66700,62000
CDA Lugano,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,19145.76863711896,24157,40096,515100,124000
CDA Lugano,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,17931.89659428191,25792,40096,515100,124000
ARA Werdhoelzli,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,54318.80315503008,24487,137986,26101,471000
ARA Werdhoelzli,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,68617.89127430588,24444,137986,26101,471000
STEP Aire,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,72577.36902757263,26299,128554,664301,454000
STEP Aire,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,60907.203114958036,22789,128554,664301,454000
ARA Chur,2023-06-27T00:00:00Z,SARS-N1,5,n1mhv,65423.07827982522,26515,11451,390101,55000
ARA Chur,2023-06-27T00:00:00Z,SARS-N1,5,n1mhv,52916.965844029255,25495,11451,390101,55000
ARA Altenrhein,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,12808.68673293706,27080,15263,323700,64000
ARA Altenrhein,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,23379.49724806337,24729,15263,323700,64000
ARA Sensetal,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,37484.51845094886,24681,13061,66700,62000
ARA Sensetal,2023-06-27T00:00:00Z,SARS-N1,3,n1mhv,13439.0208397283,25810,13061,66700,62000
CDA Lugano,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,19159.253807523542,24140,41587,515100,124000
CDA Lugano,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,7006.056394018131,24753,41587,515100,124000
ARA Werdhoelzli,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,62818.48277175309,24858,143721,26101,471000
ARA Werdhoelzli,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,76628.55944339505,22645,143721,26101,471000
STEP Aire,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,81397.42614343658,25583,130003,664301,454000
STEP Aire,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,51994.29169682942,24469,130003,664301,454000
ARA Chur,2023-06-26T00:00:00Z,SARS-N1,5,n1mhv,18256.07132107134,26388,11916,390101,55000
ARA Altenrhein,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,14312.2175186364,16157,16126,323700,64000
ARA Altenrhein,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,27258.28708104287,25453,16126,323700,64000
ARA Sensetal,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,19842.14272293431,26223,16419,66700,62000
ARA Sensetal,2023-06-26T00:00:00Z,SARS-N1,3,n1mhv,11209.82612028762,25785,16419,66700,62000
ARA Chur,2023-06-25T00:00:00Z,SARS-N1,5,n1mhv,15849.81103072222,24315,11196,390101,55000
ARA Chur,2023-06-25T00:00:00Z,SARS-N1,5,n1mhv,30142.97916024755,22376,11196,390101,55000
ARA Altenrhein,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,35727.46773491089,24276,14353,323700,64000
ARA Altenrhein,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,42146.16898937387,23324,14353,323700,64000
ARA Sensetal,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,3047.339970029697,18969,14591,66700,62000
ARA Sensetal,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,5353.164312777552,21597,14591,66700,62000
ARA Chur,2023-06-24T00:00:00Z,SARS-N1,5,n1mhv,62907.8099623266,22979,11808,390101,55000
ARA Chur,2023-06-24T00:00:00Z,SARS-N1,5,n1mhv,66490.67241433202,24640,11808,390101,55000
ARA Altenrhein,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,39713.82375944441,18928,14034,323700,64000
ARA Altenrhein,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,33092.958027666275,26208,14034,323700,64000
ARA Sensetal,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,5515.334979433591,20962,14426,66700,62000
ARA Sensetal,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,5253.189280490387,22008,14426,66700,62000
ARA Chur,2023-06-23T00:00:00Z,SARS-N1,5,n1mhv,51903.624531626614,24136,27019,390101,55000
ARA Chur,2023-06-23T00:00:00Z,SARS-N1,5,n1mhv,28925.080993671578,23318,27019,390101,55000
ARA Altenrhein,2023-06-23T00:00:00Z,SARS-N1,3,n1mhv,24891.14828347893,27873,37276,323700,64000
ARA Altenrhein,2023-06-23T00:00:00Z,SARS-N1,3,n1mhv,29443.61040506312,25528,37276,323700,64000
ARA Sensetal,2023-06-23T00:00:00Z,SARS-N1,3,n1mhv,0,22355,15997,66700,62000
ARA Sensetal,2023-06-23T00:00:00Z,SARS-N1,3,n1mhv,5641.013784907894,20495,15997,66700,62000
ARA Chur,2023-06-22T00:00:00Z,SARS-N1,5,n1mhv,108092.0562057036,23186,13603,390101,55000
ARA Chur,2023-06-22T00:00:00Z,SARS-N1,5,n1mhv,56856.24484668826,25424,13603,390101,55000
ARA Altenrhein,2023-06-22T00:00:00Z,SARS-N1,3,n1mhv,48380.69470140501,22710,23640,323700,64000
ARA Altenrhein,2023-06-22T00:00:00Z,SARS-N1,3,n1mhv,70493.76249697336,20512,23640,323700,64000
ARA Sensetal,2023-06-22T00:00:00Z,SARS-N1,3,n1mhv,0,22255,22707,66700,62000
ARA Sensetal,2023-06-22T00:00:00Z,SARS-N1,3,n1mhv,4955.503300052593,23330,22707,66700,62000
ARA Chur,2023-06-21T00:00:00Z,SARS-N1,5,n1mhv,34887.92003206855,24857,12649,390101,55000
ARA Chur,2023-06-21T00:00:00Z,SARS-N1,5,n1mhv,59710.4732995045,25823,12649,390101,55000
ARA Altenrhein,2023-06-21T00:00:00Z,SARS-N1,3,n1mhv,4392.027067540502,26323,14882,323700,64000
ARA Altenrhein,2023-06-21T00:00:00Z,SARS-N1,3,n1mhv,18449.142213857707,25069,14882,323700,64000
ARA Sensetal,2023-06-21T00:00:00Z,SARS-N1,3,n1mhv,10215.785509396721,22635,17495,66700,62000
ARA Sensetal,2023-06-21T00:00:00Z,SARS-N1,3,n1mhv,2363.811651344829,24454,17495,66700,62000
CDA Lugano,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,13478.19100030735,25735,38343,515100,124000
CDA Lugano,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,28304.13154058903,22470,38343,515100,124000
ARA Werdhoelzli,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,51087.66519982885,26035,133198,26101,471000
ARA Werdhoelzli,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,48157.52024621221,24016,133198,26101,471000
STEP Aire,2023-06-25T00:00:00Z,SARS-N1,3,n1mhv,106167.12985855859,25613,113855,664301,454000
CDA Lugano,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,24258.63230505833,23833,38982,515100,124000
CDA Lugano,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,26352.16284897887,24134,38982,515100,124000
ARA Werdhoelzli,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,67502.07673013776,23991,137120,26101,471000
ARA Werdhoelzli,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,56366.13631250394,25650,137120,26101,471000
STEP Aire,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,102702.3030316831,24223,115634,664301,454000
STEP Aire,2023-06-24T00:00:00Z,SARS-N1,3,n1mhv,90392.08723962435,25599,115634,664301,454000
ARA Werdhoelzli,2023-06-23T00:00:00Z,SARS-N1,3,n1mhv,48328.82509245911,26324,297171,26101,471000
ARA Werdhoelzli,2023-06-23T00:00:00Z,SARS-N1,3,n1mhv,45150.60748602683,24334,297171,26101,471000
STEP Aire,2023-06-23T00:00:00Z,SARS-N1,3,n1mhv,23808.36722439123,26712,126184,664301,454000
STEP Aire,2023-06-23T00:00:00Z,SARS-N1,3,n1mhv,64320.04791583942,24278,126184,664301,454000
CDA Lugano,2023-06-22T00:00:00Z,SARS-N1,3,n1mhv,23127.86339344618,24998,48387,515100,124000
CDA Lugano,2023-06-22T00:00:00Z,SARS-N1,3,n1mhv,15701.06439318101,25774,48387,515100,124000
ARA Werdhoelzli,2023-06-22T00:00:00Z,SARS-N1,3,n1mhv,49050.32448568876,24758,190774,26101,471000
ARA Werdhoelzli,2023-06-22T00:00:00Z,SARS-N1,3,n1mhv,52668.31180610745,26352,190774,26101,471000
STEP Aire,2023-06-22T00:00:00Z,SARS-N1,3,n1mhv,28047.89210939958,26798,211602,664301,454000
CDA Lugano,2023-06-21T00:00:00Z,SARS-N1,3,n1mhv,42620.484145791,25778,44018,515100,124000
CDA Lugano,2023-06-21T00:00:00Z,SARS-N1,3,n1mhv,33420.78159367176,25951,44018,515100,124000
ARA Werdhoelzli,2023-06-21T00:00:00Z,SARS-N1,3,n1mhv,37135.422910096255,26470,242301,26101,471000
ARA Werdhoelzli,2023-06-21T00:00:00Z,SARS-N1,3,n1mhv,57485.00603866091,25151,242301,26101,471000
STEP Aire,2023-06-21T00:00:00Z,SARS-N1,3,n1mhv,84430.05006253034,26035,126349,664301,454000
ARA Altenrhein,2023-06-18T00:00:00Z,SARS-N1,3,n1mhv,50595.8614534441,25145,14136,323700,64000
ARA Altenrhein,2023-06-18T00:00:00Z,SARS-N1,3,n1mhv,54078.79539166667,25665,14136,323700,64000
ARA Altenrhein,2023-06-17T00:00:00Z,SARS-N1,3,n1mhv,76095.48932927659,25844,14100,323700,64000
ARA Altenrhein,2023-06-17T00:00:00Z,SARS-N1,3,n1mhv,60211.95149461074,26894,14100,323700,64000
ARA Altenrhein,2023-06-16T00:00:00Z,SARS-N1,3,n1mhv,21981.84853388756,26301,15608,323700,64000
ARA Altenrhein,2023-06-16T00:00:00Z,SARS-N1,3,n1mhv,22201.363081384472,26041,15608,323700,64000
ARA Altenrhein,2023-06-15T00:00:00Z,SARS-N1,3,n1mhv,42572.57275313473,25807,15265,323700,64000
ARA Altenrhein,2023-06-15T00:00:00Z,SARS-N1,3,n1mhv,19543.97200551393,26623,15265,323700,64000
ARA Altenrhein,2023-06-14T00:00:00Z,SARS-N1,3,n1mhv,39315.40243936792,17649,15534,323700,64000
ARA Altenrhein,2023-06-14T00:00:00Z,SARS-N1,3,n1mhv,71975.99990874143,25715,15534,323700,64000
CDA Lugano,2023-06-20T00:00:00Z,SARS-N1,3,n1mhv,15987.05150382178,25313,44753,515100,124000
CDA Lugano,2023-06-20T00:00:00Z,SARS-N1,3,n1mhv,20109.82891513141,25874,44753,515100,124000
ARA Werdhoelzli,2023-06-20T00:00:00Z,SARS-N1,3,n1mhv,68602.6802409811,20234,207423,26101,471000
ARA Werdhoelzli,2023-06-20T00:00:00Z,SARS-N1,3,n1mhv,59919.520141778914,26060,207423,26101,471000
STEP Aire,2023-06-20T00:00:00Z,SARS-N1,3,n1mhv,84725.57225302338,26627,124224,664301,454000
STEP Aire,2023-06-20T00:00:00Z,SARS-N1,3,n1mhv,79596.54244970025,24708,124224,664301,454000
ARA Chur,2023-06-20T00:00:00Z,SARS-N1,5,n1mhv,35538.997628988756,27113,13572,390101,55000
ARA Chur,2023-06-20T00:00:00Z,SARS-N1,5,n1mhv,52419.26252614968,25737,13572,390101,55000
ARA Sensetal,2023-06-20T00:00:00Z,SARS-N1,3,n1mhv,11580.844349453571,24959,18250,66700,62000
ARA Sensetal,2023-06-20T00:00:00Z,SARS-N1,3,n1mhv,2197.8922875005132,26300,18250,66700,62000
CDA Lugano,2023-06-19T00:00:00Z,SARS-N1,3,n1mhv,13086.096318521671,26506,47370,515100,124000
CDA Lugano,2023-06-19T00:00:00Z,SARS-N1,3,n1mhv,13636.10957210647,25437,47370,515100,124000
ARA Werdhoelzli,2023-06-19T00:00:00Z,SARS-N1,3,n1mhv,63129.182392270064,26568,221497,26101,471000
ARA Werdhoelzli,2023-06-19T00:00:00Z,SARS-N1,3,n1mhv,42493.87276309009,24494,221497,26101,471000
STEP Aire,2023-06-19T00:00:00Z,SARS-N1,3,n1mhv,81691.40665980717,25491,120589,664301,454000
STEP Aire,2023-06-19T00:00:00Z,SARS-N1,3,n1mhv,54108.78353577575,24582,120589,664301,454000
ARA Chur,2023-06-19T00:00:00Z,SARS-N1,5,n1mhv,29763.00118058595,25899,12596,390101,55000
ARA Chur,2023-06-19T00:00:00Z,SARS-N1,5,n1mhv,48776.44946138841,25683,12596,390101,55000
ARA Altenrhein,2023-06-19T00:00:00Z,SARS-N1,3,n1mhv,9039.913723407073,25579,21464,323700,64000
ARA Altenrhein,2023-06-19T00:00:00Z,SARS-N1,3,n1mhv,19604.36451150721,20643,21464,323700,64000
ARA Sensetal,2023-06-19T00:00:00Z,SARS-N1,3,n1mhv,10967.77572083602,26354,29458,66700,62000
ARA Sensetal,2023-06-19T00:00:00Z,SARS-N1,3,n1mhv,7087.377330810346,24469,29458,66700,62000
ARA Chur,2023-06-18T00:00:00Z,SARS-N1,5,n1mhv,6872.284033312202,28038,10244,390101,55000
ARA Chur,2023-06-18T00:00:00Z,SARS-N1,5,n1mhv,3606.653077941837,26712,10244,390101,55000
ARA Sensetal,2023-06-18T00:00:00Z,SARS-N1,3,n1mhv,16012.99167122226,25272,14851,66700,62000
ARA Chur,2023-06-17T00:00:00Z,SARS-N1,5,n1mhv,26393.761373721092,25554,10643,390101,55000
ARA Chur,2023-06-17T00:00:00Z,SARS-N1,5,n1mhv,25009.6905022642,26968,10643,390101,55000
ARA Sensetal,2023-06-17T00:00:00Z,SARS-N1,3,n1mhv,36635.1959710108,25253,14322,66700,62000
ARA Sensetal,2023-06-17T00:00:00Z,SARS-N1,3,n1mhv,26256.40209037898,26424,14322,66700,62000
ARA Chur,2023-06-16T00:00:00Z,SARS-N1,5,n1mhv,24963.4011191947,27018,12522,390101,55000
ARA Chur,2023-06-16T00:00:00Z,SARS-N1,5,n1mhv,31476.94164989234,24489,12522,390101,55000
ARA Sensetal,2023-06-16T00:00:00Z,SARS-N1,3,n1mhv,15180.90606420905,26657,14913,66700,62000
ARA Sensetal,2023-06-16T00:00:00Z,SARS-N1,3,n1mhv,14164.04520885345,24489,14913,66700,62000
ARA Chur,2023-06-15T00:00:00Z,SARS-N1,5,n1mhv,25729.14670721352,26214,12200,390101,55000
ARA Chur,2023-06-15T00:00:00Z,SARS-N1,5,n1mhv,24998.565401183772,26980,12200,390101,55000
ARA Sensetal,2023-06-15T00:00:00Z,SARS-N1,3,n1mhv,5494.1040064263125,21043,15218,66700,62000
ARA Sensetal,2023-06-15T00:00:00Z,SARS-N1,3,n1mhv,2294.016002210046,25198,15218,66700,62000
ARA Chur,2023-06-14T00:00:00Z,SARS-N1,5,n1mhv,66629.68244701638,26035,12124,390101,55000
ARA Chur,2023-06-14T00:00:00Z,SARS-N1,5,n1mhv,60400.70021058128,25528,12124,390101,55000
ARA Sensetal,2023-06-14T00:00:00Z,SARS-N1,3,n1mhv,13388.18030492182,25908,15250,66700,62000
ARA Sensetal,2023-06-14T00:00:00Z,SARS-N1,3,n1mhv,8562.419698377504,20254,15250,66700,62000
ARA Werdhoelzli,2023-06-14T00:00:00Z,SARS-N1,3,n1mhv,78314.66895916745,19942,146031,26101,471000
ARA Werdhoelzli,2023-06-14T00:00:00Z,SARS-N1,3,n1mhv,96656.8507766035,21547,146031,26101,471000
ARA Werdhoelzli,2023-06-13T00:00:00Z,SARS-N1,3,n1mhv,135892.4526852618,24700,143787,26101,471000
ARA Werdhoelzli,2023-06-13T00:00:00Z,SARS-N1,3,n1mhv,117468.3985177641,25614,143787,26101,471000
ARA Werdhoelzli,2023-06-12T00:00:00Z,SARS-N1,3,n1mhv,68677.39604891326,25265,146332,26101,471000
ARA Werdhoelzli,2023-06-12T00:00:00Z,SARS-N1,3,n1mhv,55692.230837836985,22845,146332,26101,471000
CDA Lugano,2023-06-18T00:00:00Z,SARS-N1,3,n1mhv,6889.430278680502,25172,43877,515100,124000
CDA Lugano,2023-06-18T00:00:00Z,SARS-N1,3,n1mhv,9210.240333075271,25106,43877,515100,124000
ARA Werdhoelzli,2023-06-18T00:00:00Z,SARS-N1,3,n1mhv,49607.58932034064,24480,134744,26101,471000
ARA Werdhoelzli,2023-06-18T00:00:00Z,SARS-N1,3,n1mhv,58369.205418471254,25761,134744,26101,471000
STEP Aire,2023-06-18T00:00:00Z,SARS-N1,3,n1mhv,90140.20557398703,26954,112875,664301,454000
STEP Aire,2023-06-18T00:00:00Z,SARS-N1,3,n1mhv,91424.15625736513,25943,112875,664301,454000
CDA Lugano,2023-06-17T00:00:00Z,SARS-N1,3,n1mhv,6803.743200570231,25489,46216,515100,124000
CDA Lugano,2023-06-17T00:00:00Z,SARS-N1,3,n1mhv,8862.50424644039,26091,46216,515100,124000
ARA Werdhoelzli,2023-06-17T00:00:00Z,SARS-N1,3,n1mhv,115593.6372155933,26029,134708,26101,471000
ARA Werdhoelzli,2023-06-17T00:00:00Z,SARS-N1,3,n1mhv,149330.3997607798,25193,134708,26101,471000
STEP Aire,2023-06-17T00:00:00Z,SARS-N1,3,n1mhv,80239.26851396837,25952,109225,664301,454000
STEP Aire,2023-06-17T00:00:00Z,SARS-N1,3,n1mhv,83359.8547472274,26369,109225,664301,454000
CDA Lugano,2023-06-16T00:00:00Z,SARS-N1,3,n1mhv,6792.549984286419,25531,51582,515100,124000
ARA Werdhoelzli,2023-06-16T00:00:00Z,SARS-N1,3,n1mhv,85103.92052248961,25829,152178,26101,471000
ARA Werdhoelzli,2023-06-16T00:00:00Z,SARS-N1,3,n1mhv,87263.70650108097,26516,152178,26101,471000
STEP Aire,2023-06-16T00:00:00Z,SARS-N1,3,n1mhv,49462.57603324193,26890,117408,664301,454000
STEP Aire,2023-06-16T00:00:00Z,SARS-N1,3,n1mhv,54129.43690242146,25641,117408,664301,454000
ARA Werdhoelzli,2023-06-15T00:00:00Z,SARS-N1,3,n1mhv,80426.00991751839,26611,145469,26101,471000
STEP Aire,2023-06-15T00:00:00Z,SARS-N1,3,n1mhv,46059.41666878591,26365,113107,664301,454000
STEP Aire,2023-06-15T00:00:00Z,SARS-N1,3,n1mhv,40349.98036448216,27228,113107,664301,454000
CDA Lugano,2023-06-14T00:00:00Z,SARS-N1,3,n1mhv,6412.750949548676,27043,64362,515100,124000
CDA Lugano,2023-06-14T00:00:00Z,SARS-N1,3,n1mhv,10954.88835044221,26385,64362,515100,124000
STEP Aire,2023-06-14T00:00:00Z,SARS-N1,3,n1mhv,37074.631678117636,28073,117007,664301,454000
STEP Aire,2023-06-14T00:00:00Z,SARS-N1,3,n1mhv,45005.76140342942,26982,117007,664301,454000
CDA Lugano,2023-06-13T00:00:00Z,SARS-N1,3,n1mhv,6671.555441637406,25994,114022,515100,124000
CDA Lugano,2023-06-13T00:00:00Z,SARS-N1,3,n1mhv,13221.28738794353,26235,114022,515100,124000
STEP Aire,2023-06-13T00:00:00Z,SARS-N1,3,n1mhv,96032.05658822804,25904,111956,664301,454000
STEP Aire,2023-06-13T00:00:00Z,SARS-N1,3,n1mhv,108360.11139372291,26163,111956,664301,454000
ARA Chur,2023-06-13T00:00:00Z,SARS-N1,5,n1mhv,69471.15042715419,27745,12244,390101,55000
ARA Chur,2023-06-13T00:00:00Z,SARS-N1,5,n1mhv,44086.08413744481,26229,12244,390101,55000
ARA Altenrhein,2023-06-13T00:00:00Z,SARS-N1,3,n1mhv,21585.57396436496,21427,15425,323700,64000
ARA Altenrhein,2023-06-13T00:00:00Z,SARS-N1,3,n1mhv,20231.832274244967,25718,15425,323700,64000
ARA Sensetal,2023-06-13T00:00:00Z,SARS-N1,3,n1mhv,8652.889984061612,26723,13944,66700,62000
ARA Sensetal,2023-06-13T00:00:00Z,SARS-N1,3,n1mhv,13638.254457630239,25433,13944,66700,62000
CDA Lugano,2023-06-12T00:00:00Z,SARS-N1,3,n1mhv,30180.07657555847,26821,71246,515100,124000
CDA Lugano,2023-06-12T00:00:00Z,SARS-N1,3,n1mhv,17947.90410944962,25769,71246,515100,124000
STEP Aire,2023-06-12T00:00:00Z,SARS-N1,3,n1mhv,37066.78460272943,26519,118872,664301,454000
STEP Aire,2023-06-12T00:00:00Z,SARS-N1,3,n1mhv,95127.3936236882,25542,118872,664301,454000
ARA Chur,2023-06-12T00:00:00Z,SARS-N1,5,n1mhv,110943.49669342709,25197,12518,390101,55000
ARA Chur,2023-06-12T00:00:00Z,SARS-N1,5,n1mhv,150372.3027625373,26288,12518,390101,55000
ARA Altenrhein,2023-06-12T00:00:00Z,SARS-N1,3,n1mhv,42062.233370326685,26120,17746,323700,64000
ARA Altenrhein,2023-06-12T00:00:00Z,SARS-N1,3,n1mhv,41066.649546577304,26753,17746,323700,64000
ARA Sensetal,2023-06-12T00:00:00Z,SARS-N1,3,n1mhv,25897.08424496805,24558,16999,66700,62000
ARA Sensetal,2023-06-12T00:00:00Z,SARS-N1,3,n1mhv,21562.022112186292,26813,16999,66700,62000
ARA Chur,2023-06-11T00:00:00Z,SARS-N1,5,n1mhv,100534.5046355448,24928,10441,390101,55000
ARA Chur,2023-06-11T00:00:00Z,SARS-N1,5,n1mhv,110526.5395377631,25292,10441,390101,55000
ARA Altenrhein,2023-06-11T00:00:00Z,SARS-N1,3,n1mhv,30439.515689568078,24693,15374,323700,64000
ARA Sensetal,2023-06-11T00:00:00Z,SARS-N1,3,n1mhv,51375.15566113458,27015,14728,66700,62000
ARA Sensetal,2023-06-11T00:00:00Z,SARS-N1,3,n1mhv,39136.5074407562,25117,14728,66700,62000
ARA Chur,2023-06-10T00:00:00Z,SARS-N1,5,n1mhv,35082.72603949906,24719,10724,390101,55000
ARA Chur,2023-06-10T00:00:00Z,SARS-N1,5,n1mhv,73286.61934995814,24986,10724,390101,55000
ARA Altenrhein,2023-06-10T00:00:00Z,SARS-N1,3,n1mhv,27710.8000464788,22951,14958,323700,64000
ARA Altenrhein,2023-06-10T00:00:00Z,SARS-N1,3,n1mhv,37647.6062400328,26110,14958,323700,64000
ARA Sensetal,2023-06-10T00:00:00Z,SARS-N1,3,n1mhv,66804.7461364986,21644,15681,66700,62000
ARA Sensetal,2023-06-10T00:00:00Z,SARS-N1,3,n1mhv,41880.98247752018,26233,15681,66700,62000
ARA Chur,2023-06-09T00:00:00Z,SARS-N1,5,n1mhv,33684.35080726751,25745,12426,390101,55000
ARA Chur,2023-06-09T00:00:00Z,SARS-N1,5,n1mhv,62469.13365315451,24683,12426,390101,55000
ARA Altenrhein,2023-06-09T00:00:00Z,SARS-N1,3,n1mhv,45275.688230083244,25544,16246,323700,64000
ARA Altenrhein,2023-06-09T00:00:00Z,SARS-N1,3,n1mhv,37941.23418668985,24384,16246,323700,64000
ARA Sensetal,2023-06-09T00:00:00Z,SARS-N1,3,n1mhv,28292.8933793075,26566,19458,66700,62000
ARA Sensetal,2023-06-09T00:00:00Z,SARS-N1,3,n1mhv,56106.258428860994,24738,19458,66700,62000
ARA Chur,2023-06-08T00:00:00Z,SARS-N1,5,n1mhv,48257.72099140595,25959,12547,390101,55000
ARA Chur,2023-06-08T00:00:00Z,SARS-N1,5,n1mhv,25531.40627740061,26417,12547,390101,55000
ARA Altenrhein,2023-06-08T00:00:00Z,SARS-N1,3,n1mhv,22531.07345154982,25660,21390,323700,64000
ARA Sensetal,2023-06-08T00:00:00Z,SARS-N1,3,n1mhv,40140.565416896694,27370,15313,66700,62000
ARA Chur,2023-06-07T00:00:00Z,SARS-N1,5,n1mhv,25392.96995821514,26561,13710,390101,55000
ARA Chur,2023-06-07T00:00:00Z,SARS-N1,5,n1mhv,14745.40657660621,26136,13710,390101,55000
ARA Altenrhein,2023-06-07T00:00:00Z,SARS-N1,3,n1mhv,35667.393778404046,25938,16295,323700,64000
ARA Altenrhein,2023-06-07T00:00:00Z,SARS-N1,3,n1mhv,29551.29492781297,25435,16295,323700,64000
ARA Sensetal,2023-06-07T00:00:00Z,SARS-N1,3,n1mhv,36855.3173105394,28240,15918,66700,62000
CDA Lugano,2023-06-11T00:00:00Z,SARS-N1,3,n1mhv,4425.654102773193,26123,65785,515100,124000
CDA Lugano,2023-06-11T00:00:00Z,SARS-N1,3,n1mhv,11666.391184997521,24776,65785,515100,124000
ARA Werdhoelzli,2023-06-11T00:00:00Z,SARS-N1,3,n1mhv,69653.23115221407,26572,137338,26101,471000
ARA Werdhoelzli,2023-06-11T00:00:00Z,SARS-N1,3,n1mhv,77569.22304661202,26099,137338,26101,471000
STEP Aire,2023-06-11T00:00:00Z,SARS-N1,3,n1mhv,233479.15317843622,26544,114683,664301,454000
STEP Aire,2023-06-11T00:00:00Z,SARS-N1,3,n1mhv,256762.0799666044,25270,114683,664301,454000
CDA Lugano,2023-06-10T00:00:00Z,SARS-N1,3,n1mhv,31815.087881069652,25443,49991,515100,124000
CDA Lugano,2023-06-10T00:00:00Z,SARS-N1,3,n1mhv,44868.02073303197,25776,49991,515100,124000
ARA Werdhoelzli,2023-06-10T00:00:00Z,SARS-N1,3,n1mhv,139020.7826678102,25810,139378,26101,471000
ARA Werdhoelzli,2023-06-10T00:00:00Z,SARS-N1,3,n1mhv,133543.3987551297,26434,139378,26101,471000
STEP Aire,2023-06-10T00:00:00Z,SARS-N1,3,n1mhv,89051.73261564356,25984,114131,664301,454000
STEP Aire,2023-06-10T00:00:00Z,SARS-N1,3,n1mhv,84649.21851924258,26651,114131,664301,454000
CDA Lugano,2023-06-09T00:00:00Z,SARS-N1,3,n1mhv,28095.08165549509,26753,47576,515100,124000
