wastewater_treatment_plant.name,collection_date,target,dilution,assay,gc_per_lww,TotalDroplets,flow,ara_id,population
ARA Werdhoelzli,2021-08-17T00:00:00Z,SARS-N1,3,n1mhv,68520.10157409412,24340,198018,26101,471000
ARA Altenrhein,2021-08-17T00:00:00Z,SARS-N1,3,n1mhv,68781.07483470591,26722,38633,323700,64000
ARA Altenrhein,2021-08-17T00:00:00Z,SARS-N1,3,n1mhv,54676.9148041854,26762,38633,323700,64000
ARA Sensetal,2021-08-16T00:00:00Z,SARS-N1,3,n1mhv,21193.32526573547,25678,33319,66700,62000
ARA Sensetal,2021-08-16T00:00:00Z,SARS-N1,3,n1mhv,17348.32046077206,25486,33319,66700,62000
ARA Altenrhein,2021-08-16T00:00:00Z,SARS-N1,3,n1mhv,25134.566580953633,27066,77132,323700,64000
ARA Altenrhein,2021-08-16T00:00:00Z,SARS-N1,3,n1mhv,29838.34931101041,27361,77132,323700,64000
ARA Werdhoelzli,2021-08-16T00:00:00Z,SARS-N1,3,n1mhv,98588.4585997317,24868,197376,26101,471000
ARA Werdhoelzli,2021-08-16T00:00:00Z,SARS-N1,3,n1mhv,89700.40518966997,24292,197376,26101,471000
STEP Aire,2021-08-16T00:00:00Z,SARS-N1,3,n1mhv,102193.9952100066,25658,136111,664301,454000
STEP Aire,2021-08-16T00:00:00Z,SARS-N1,3,n1mhv,104663.0317141184,25379,136111,664301,454000
ARA Chur,2021-08-15T00:00:00Z,SARS-N1,3,n1mhv,110036.9660878612,26308,11598,390101,55000
ARA Chur,2021-08-15T00:00:00Z,SARS-N1,3,n1mhv,102304.6939272809,26296,11598,390101,55000
ARA Altenrhein,2021-08-15T00:00:00Z,SARS-N1,3,n1mhv,111722.0395037275,25607,22105,323700,64000
ARA Altenrhein,2021-08-15T00:00:00Z,SARS-N1,3,n1mhv,119839.5978387245,24728,22105,323700,64000
ARA Sensetal,2021-08-15T00:00:00Z,SARS-N1,3,n1mhv,32612.11441272166,26078,26379,66700,62000
ARA Sensetal,2021-08-15T00:00:00Z,SARS-N1,3,n1mhv,23903.950453468242,25613,26379,66700,62000
ARA Chur,2021-08-14T00:00:00Z,SARS-N1,3,n1mhv,87900.80294422674,25176,12131,390101,55000
ARA Chur,2021-08-14T00:00:00Z,SARS-N1,3,n1mhv,97766.73056796941,25425,12131,390101,55000
ARA Altenrhein,2021-08-14T00:00:00Z,SARS-N1,3,n1mhv,140518.0646580577,25945,19868,323700,64000
ARA Altenrhein,2021-08-14T00:00:00Z,SARS-N1,3,n1mhv,109690.4902228865,25770,19868,323700,64000
ARA Sensetal,2021-08-14T00:00:00Z,SARS-N1,3,n1mhv,10778.90011322025,25240,27401,66700,62000
ARA Sensetal,2021-08-14T00:00:00Z,SARS-N1,3,n1mhv,12004.72174177487,25496,27401,66700,62000
ARA Chur,2021-08-13T00:00:00Z,SARS-N1,3,n1mhv,91708.12410222316,26731,13103,390101,55000
ARA Chur,2021-08-13T00:00:00Z,SARS-N1,3,n1mhv,70118.44515198827,25242,13103,390101,55000
ARA Altenrhein,2021-08-13T00:00:00Z,SARS-N1,3,n1mhv,69766.35043614863,26345,20896,323700,64000
ARA Altenrhein,2021-08-13T00:00:00Z,SARS-N1,3,n1mhv,95147.6286948351,25766,20896,323700,64000
ARA Sensetal,2021-08-13T00:00:00Z,SARS-N1,3,n1mhv,6541.747355039609,25991,29533,66700,62000
ARA Sensetal,2021-08-13T00:00:00Z,SARS-N1,3,n1mhv,9456.456520432364,25173,29533,66700,62000
ARA Chur,2021-08-12T00:00:00Z,SARS-N1,3,n1mhv,53116.49413977964,24985,13529,390101,55000
ARA Chur,2021-08-12T00:00:00Z,SARS-N1,3,n1mhv,40190.722385028486,24549,13529,390101,55000
ARA Altenrhein,2021-08-12T00:00:00Z,SARS-N1,3,n1mhv,84251.4879100237,25861,21023,323700,64000
